ts,seq,cmd_type,relay_rtt_ms,authority
129.26,3338,speedj,54,operator
129.28,3339,speedj,54,operator
129.301,3340,speedj,54,operator
129.321,3341,speedj,54,operator
129.342,3342,speedj,54,operator
129.361,3343,speedj,54,operator
129.38,3344,speedj,28,operator
129.401,3345,speedj,28,operator
129.421,3346,speedj,28,operator
129.443,3347,speedj,28,operator
129.46,3348,speedj,28,operator
129.481,3349,speedj,28,operator
129.501,3350,speedj,28,operator
129.52,3351,speedj,28,operator
129.542,3352,speedj,28,operator
129.56,3353,speedj,28,operator
129.58,3354,speedj,28,operator
129.601,3355,speedj,28,operator
129.62,3356,speedj,28,operator
129.642,3357,speedj,36,operator
129.66,3358,speedj,36,operator
129.68,3359,speedj,36,operator
129.701,3360,speedj,36,operator
129.721,3361,speedj,36,operator
129.742,3362,speedj,36,operator
129.76,3363,speedj,36,operator
129.781,3364,speedj,36,operator
129.8,3365,speedj,36,operator
129.821,3366,speedj,36,operator
129.842,3367,speedj,36,operator
129.86,3368,speedj,36,operator
129.877,3369,speedj_stop,36,operator
148.603,3370,speedl_stop,131,operator
148.603,3371,speedl_stop,131,operator
179.182,3372,speedl_stop,69,operator
179.201,3373,speedl_stop,69,operator
179.223,3374,speedl_stop,69,operator
179.241,3375,speedl_stop,69,operator
179.262,3376,speedl_stop,69,operator
179.281,3377,speedl_stop,69,operator
179.301,3378,speedl_stop,69,operator
179.321,3379,speedl_stop,69,operator
179.344,3380,speedl_stop,69,operator
179.361,3381,speedl_stop,69,operator
179.382,3382,speedl,35,operator
179.402,3383,speedl,35,operator
179.422,3384,speedl,35,operator
179.441,3385,speedl,35,operator
179.462,3386,speedl,35,operator
179.481,3387,speedl,35,operator
179.501,3388,speedl,35,operator
179.522,3389,speedl,35,operator
179.541,3390,speedl,35,operator
179.561,3391,speedl,35,operator
179.582,3392,speedl,35,operator
179.602,3393,speedl,35,operator
179.622,3394,speedl,35,operator
179.641,3395,speedl,46,operator
179.662,3396,speedl,46,operator
179.682,3397,speedl,46,operator
179.701,3398,speedl,46,operator
179.722,3399,speedl,46,operator
179.744,3400,speedl,46,operator
179.762,3401,speedl,46,operator
179.782,3402,speedl,46,operator
179.801,3403,speedl,46,operator
179.822,3404,speedl,46,operator
179.844,3405,speedl,46,operator
179.862,3406,speedl,46,operator
179.882,3407,speedl,33,operator
179.901,3408,speedl,33,operator
179.922,3409,speedl,33,operator
179.941,3410,speedl,33,operator
179.962,3411,speedl,33,operator
179.982,3412,speedl,33,operator
180.001,3413,speedl,33,operator
180.023,3414,speedl,33,operator
180.044,3415,speedl,33,operator
180.061,3416,speedl,33,operator
180.081,3417,speedl,33,operator
180.101,3418,speedl,33,operator
180.122,3419,speedl,33,operator
180.142,3420,speedl,33,operator
180.162,3421,speedl,54,operator
180.182,3422,speedl,54,operator
180.202,3423,speedl,54,operator
180.222,3424,speedl,54,operator
180.242,3425,speedl,54,operator
180.262,3426,speedl,54,operator
180.282,3427,speedl,54,operator
180.302,3428,speedl,54,operator
180.322,3429,speedl,54,operator
180.345,3430,speedl,54,operator
180.362,3431,speedl,54,operator
180.381,3432,speedl,33,operator
180.401,3433,speedl,33,operator
180.423,3434,speedl,33,operator
180.444,3435,speedl,33,operator
180.462,3436,speedl,33,operator
180.482,3437,speedl,33,operator
180.502,3438,speedl,33,operator
180.521,3439,speedl,33,operator
180.541,3440,speedl,33,operator
180.561,3441,speedl,33,operator
180.582,3442,speedl,33,operator
180.602,3443,speedl,33,operator
180.622,3444,speedl,19,operator
180.641,3445,speedl,19,operator
180.662,3446,speedl,19,operator
180.682,3447,speedl,19,operator
180.702,3448,speedl,19,operator
180.722,3449,speedl,19,operator
180.746,3450,speedl,19,operator
180.762,3451,speedl,19,operator
180.782,3452,speedl,19,operator
180.804,3453,speedl,19,operator
180.822,3454,speedl,19,operator
180.846,3455,speedl,19,operator
180.862,3456,speedl,19,operator
180.882,3457,speedl,28,operator
180.901,3458,speedl,28,operator
180.922,3459,speedl,28,operator
180.945,3460,speedl,28,operator
180.962,3461,speedl,28,operator
180.981,3462,speedl,28,operator
181.002,3463,speedl,28,operator
181.023,3464,speedl,28,operator
181.045,3465,speedl,28,operator
181.062,3466,speedl,28,operator
181.082,3467,speedl,28,operator
181.101,3468,speedl,28,operator
181.122,3469,speedl,28,operator
181.145,3470,speedl,35,operator
181.162,3471,speedl,35,operator
181.182,3472,speedl,35,operator
181.201,3473,speedl,35,operator
181.222,3474,speedl,35,operator
181.244,3475,speedl,35,operator
181.261,3476,speedl,35,operator
181.282,3477,speedl,35,operator
181.303,3478,speedl,35,operator
181.321,3479,speedl,35,operator
181.344,3480,speedl,35,operator
181.361,3481,speedl,35,operator
181.382,3482,speedl,23,operator
181.401,3483,speedl,23,operator
181.422,3484,speedl,23,operator
181.442,3485,speedl,23,operator
181.462,3486,speedl,23,operator
181.482,3487,speedl,23,operator
181.502,3488,speedl,23,operator
181.522,3489,speedl,23,operator
181.544,3490,speedl,23,operator
181.561,3491,speedl,23,operator
181.582,3492,speedl,23,operator
181.601,3493,speedl,23,operator
181.621,3494,speedl,23,operator
181.641,3495,speedl,42,operator
181.662,3496,speedl,42,operator
181.682,3497,speedl,42,operator
181.702,3498,speedl,42,operator
181.723,3499,speedl,42,operator
181.744,3500,speedl,42,operator
181.762,3501,speedl,42,operator
181.782,3502,speedl,42,operator
181.802,3503,speedl,42,operator
181.821,3504,speedl,42,operator
181.845,3505,speedl,42,operator
181.862,3506,speedl,42,operator
181.882,3507,speedl,42,operator
181.902,3508,speedl,42,operator
181.922,3509,speedl,42,operator
181.945,3510,speedl,42,operator
181.962,3511,speedl,42,operator
181.982,3512,speedl,42,operator
182.001,3513,speedl,42,operator
182.022,3514,speedl,42,operator
182.044,3515,speedl,42,operator
182.061,3516,speedl,42,operator
182.081,3517,speedl,42,operator
182.101,3518,speedl,42,operator
182.122,3519,speedl,42,operator
182.145,3520,speedl,51,operator
182.161,3521,speedl,51,operator
182.181,3522,speedl,51,operator
182.202,3523,speedl,51,operator
182.222,3524,speedl,51,operator
