ts,t_ms,q0,q1,q2,q3,q4,q5,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,role,authority
"2026-05-19T13:23:43.938Z","1779197023938","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:44.181Z","1779197024181","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:44.450Z","1779197024450","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:44.702Z","1779197024702","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:44.926Z","1779197024926","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:45.128Z","1779197025128","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:45.330Z","1779197025330","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:45.612Z","1779197025612","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:45.856Z","1779197025856","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:46.209Z","1779197026209","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:46.428Z","1779197026428","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:46.686Z","1779197026686","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:46.936Z","1779197026936","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:47.260Z","1779197027260","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:47.620Z","1779197027620","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:47.917Z","1779197027917","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:48.220Z","1779197028220","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:48.494Z","1779197028494","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:48.696Z","1779197028696","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:48.935Z","1779197028935","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:49.269Z","1779197029269","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:49.489Z","1779197029489","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:49.694Z","1779197029694","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:49.909Z","1779197029909","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:50.126Z","1779197030126","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:50.381Z","1779197030381","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:50.673Z","1779197030673","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
